anio,mes,edad,nivel_educatico,ocupacion,entidad,tamanio_entidad,ingresos
2020,12,23,8,3,4,2,1500
2020,12,43,5,4,4,2,1500
2020,12,30,6,4,4,2,1500
2020,12,29,5,4,4,2,930
2020,12,55,6,3,4,2,1500
2021,1,16,5,4,4,1,500
2021,1,25,7,4,4,2,1000
2021,2,39,6,4,4,2,1000
2021,2,40,6,4,4,2,1500
2021,2,22,7,4,4,2,930
2021,2,60,6,4,4,2,2000
2021,2,31,10,3,4,1,2000
2021,2,65,9,3,4,2,5000
2020,12,31,8,3,5,2,1500
2020,12,63,6,4,5,1,1083
2021,1,32,10,3,5,2,5000
2020,12,27,7,4,5,1,1299
2020,12,51,8,3,1,2,3500
2021,2,26,10,3,5,1,900
2021,2,25,10,3,5,1,2200
2020,12,26,7,3,5,2,1000
2020,12,57,6,3,5,1,930
2020,12,57,8,3,2,2,2500
2020,12,49,3,4,5,1,650
2020,12,46,5,3,5,1,1000
2020,12,27,6,3,5,1,800
2020,12,49,6,3,1,2,3000
2020,12,31,9,3,5,1,779
2020,12,35,6,4,5,1,1299
2020,12,53,3,4,2,2,930
2020,12,27,6,4,5,2,1480
2020,12,51,5,4,5,1,1516
2020,12,27,6,3,4,2,1100
2020,12,24,7,3,5,2,1083
2020,12,25,8,4,5,1,2598
2020,12,23,7,4,5,2,930
2020,12,21,6,4,5,1,930
2020,12,32,6,4,5,1,1039
2020,12,32,3,4,5,1,2000
2020,12,39,5,4,5,1,1300
2020,12,30,5,4,5,2,1600
2020,12,31,5,3,5,1,930
2020,12,54,6,4,5,2,930
2020,12,21,6,3,5,1,866
2020,12,24,6,3,5,1,866
2020,12,29,10,3,2,2,3000
2020,12,27,6,3,1,2,2800
2020,12,39,8,3,5,2,930
2020,12,37,10,3,5,2,1200
2020,12,61,6,3,4,1,1300
2020,12,27,6,3,4,2,930
2020,12,23,6,4,5,1,1299
2020,12,61,6,4,5,2,930
2020,12,43,6,4,5,2,1200
2020,12,34,8,3,5,1,900
2020,12,36,10,3,2,2,2000
2020,12,63,6,4,5,2,2200
2020,12,61,9,3,5,1,1000
2020,12,57,6,3,5,1,1000
2020,12,51,8,3,1,2,3000
2020,12,25,9,3,2,2,930
2020,12,53,6,3,1,2,3000
2020,12,27,9,3,5,2,1500
2020,12,23,7,3,5,2,950
2020,12,24,8,3,5,1,2200
2020,12,28,5,4,5,1,1625
2020,12,42,6,4,4,2,1200
2020,12,26,8,3,2,2,2000
2020,12,29,7,3,5,2,500
2020,12,38,6,4,5,1,1000
2020,12,26,9,3,5,1,550
2020,12,33,8,3,5,1,950
2020,12,62,6,4,5,1,1083
2020,12,27,6,3,5,1,1000
2020,12,50,6,3,5,2,2000
2020,12,53,8,3,2,2,1000
2020,12,46,7,4,5,1,1299
2020,12,43,5,4,5,1,1516
2020,12,31,6,4,5,1,1169
2020,12,49,5,4,2,2,1170
2020,12,41,6,4,5,1,1039
2020,12,19,6,4,4,1,1000
2020,12,49,5,4,5,1,866
2020,12,44,5,4,5,1,1083
2020,12,40,5,4,5,1,1250
2020,12,31,8,3,5,1,1700
2020,12,32,6,3,5,1,650
2020,12,24,8,3,5,1,1299
2020,12,52,4,4,5,1,1299
2020,12,52,6,3,5,2,1200
2020,12,38,6,4,5,1,779
2020,12,20,6,4,5,1,1299
2020,12,18,6,4,5,1,1299
2020,12,30,6,4,5,1,1299
2020,12,37,8,3,5,1,1200
2020,12,20,7,3,5,2,1400
2020,12,29,9,3,5,1,700
2020,12,21,6,4,5,1,650
2020,12,56,8,3,1,2,3000
2020,12,31,10,3,5,2,3000
2020,12,23,10,3,5,2,1300
2020,12,56,6,3,5,2,1500
2020,12,30,10,3,2,2,1800
2020,12,27,10,3,5,2,4200
2020,12,39,10,3,2,2,3000
2020,12,53,6,3,5,1,866
2020,12,28,7,3,5,1,1500
2020,12,55,8,3,2,2,2400
2020,12,27,10,3,5,2,1800
2020,12,34,6,3,5,2,600
2020,12,50,8,3,5,1,1800
2020,12,29,9,3,5,2,1000
2020,12,60,10,3,2,2,3000
2020,12,25,9,3,5,2,1600
2020,12,39,6,3,5,1,606
2020,12,35,6,4,5,2,1516
2020,12,20,6,4,5,1,996
2020,12,26,10,3,5,1,3000
2020,12,49,10,4,5,1,1732
2020,12,45,7,4,2,2,1200
2020,12,73,4,4,2,2,850
2020,12,26,6,4,5,1,650
2020,12,50,6,4,5,1,1732
2020,12,43,6,4,5,1,930
2020,12,20,8,4,4,2,1100
2020,12,47,6,4,4,2,1210
2020,12,18,7,4,4,2,930
2020,12,22,7,3,5,2,950
2020,12,27,8,3,5,1,930
2020,12,26,10,3,5,2,1200
2020,12,26,9,3,5,1,750
2020,12,27,10,3,5,1,1100
2020,12,34,8,3,5,1,1732
2020,12,26,10,3,5,2,2200
2020,12,50,10,3,2,2,4000
2020,12,36,10,3,5,2,930
2020,12,29,10,3,5,2,4500
2020,12,37,10,3,5,1,2000
2020,12,39,6,4,5,1,1083
2020,12,37,6,4,5,1,1732
2020,12,70,6,4,2,2,930
2020,12,28,8,3,2,2,1200
2020,12,47,8,3,2,2,2000
2020,12,45,6,3,5,1,1400
2020,12,41,6,4,5,1,500
